AGPORTID,COUNTRY,State,County Name,"County Name, State",FMRe Exposed TIV by company & county,Company Name
1,US,PA,HUNTINGDON COUNTY,"PA, HUNTINGDON COUNTY",978,Brethren
1,US,PA,INDIANA COUNTY,"PA, INDIANA COUNTY","7,016",Brethren
1,US,VA,ISLE OF WIGHT COUNTY,"VA, ISLE OF WIGHT COUNTY","2,908",Brethren
1,US,VA,JAMES CITY COUNTY,"VA, JAMES CITY COUNTY",952,Brethren
1,US,PA,JEFFERSON COUNTY,"PA, JEFFERSON COUNTY","1,217",Brethren
1,US,PA,JUNIATA COUNTY,"PA, JUNIATA COUNTY","1,805",Brethren
1,US,DE,KENT COUNTY,"DE, KENT COUNTY",593,Brethren
1,US,MD,KENT COUNTY,"MD, KENT COUNTY","25,041",Brethren
1,US,VA,KING AND QUEEN COUNTY,"VA, KING AND QUEEN COUNTY",50,Brethren
1,US,VA,KING GEORGE COUNTY,"VA, KING GEORGE COUNTY","1,416",Brethren
1,US,VA,KING WILLIAM COUNTY,"VA, KING WILLIAM COUNTY",800,Brethren
1,US,PA,LACKAWANNA COUNTY,"PA, LACKAWANNA COUNTY","14,627",Brethren
1,US,PA,LANCASTER COUNTY,"PA, LANCASTER COUNTY","36,685",Brethren
1,US,VA,LANCASTER COUNTY,"VA, LANCASTER COUNTY",288,Brethren
1,US,PA,LAWRENCE COUNTY,"PA, LAWRENCE COUNTY","1,044",Brethren
1,US,PA,LEBANON COUNTY,"PA, LEBANON COUNTY","4,256",Brethren
1,US,VA,LEE COUNTY,"VA, LEE COUNTY","1,170",Brethren
1,US,PA,LEHIGH COUNTY,"PA, LEHIGH COUNTY","10,962",Brethren
1,US,VA,LEXINGTON CITY,"VA, LEXINGTON CITY",351,Brethren
1,US,VA,LOUDOUN COUNTY,"VA, LOUDOUN COUNTY","19,070",Brethren
1,US,VA,LOUISA COUNTY,"VA, LOUISA COUNTY","1,322",Brethren
1,US,VA,LUNENBURG COUNTY,"VA, LUNENBURG COUNTY",50,Brethren
1,US,PA,LUZERNE COUNTY,"PA, LUZERNE COUNTY","16,280",Brethren
1,US,PA,LYCOMING COUNTY,"PA, LYCOMING COUNTY","1,969",Brethren
1,US,VA,LYNCHBURG CITY,"VA, LYNCHBURG CITY","1,989",Brethren
1,US,VA,MADISON COUNTY,"VA, MADISON COUNTY",406,Brethren
1,US,VA,MANASSAS CITY,"VA, MANASSAS CITY",187,Brethren
1,US,VA,MANASSAS PARK CITY,"VA, MANASSAS PARK CITY",22,Brethren
1,US,VA,MARTINSVILLE CITY,"VA, MARTINSVILLE CITY",528,Brethren
1,US,VA,MATHEWS COUNTY,"VA, MATHEWS COUNTY",509,Brethren
1,US,PA,MCKEAN COUNTY,"PA, MCKEAN COUNTY",183,Brethren
1,US,VA,MECKLENBURG COUNTY,"VA, MECKLENBURG COUNTY",89,Brethren
1,US,PA,MERCER COUNTY,"PA, MERCER COUNTY","1,673",Brethren
1,US,VA,MIDDLESEX COUNTY,"VA, MIDDLESEX COUNTY",690,Brethren
1,US,PA,MIFFLIN COUNTY,"PA, MIFFLIN COUNTY","1,980",Brethren
1,US,PA,MONROE COUNTY,"PA, MONROE COUNTY","13,062",Brethren
1,US,MD,MONTGOMERY COUNTY,"MD, MONTGOMERY COUNTY","35,424",Brethren
1,US,PA,MONTGOMERY COUNTY,"PA, MONTGOMERY COUNTY","9,484",Brethren
1,US,VA,MONTGOMERY COUNTY,"VA, MONTGOMERY COUNTY","2,432",Brethren
1,US,PA,MONTOUR COUNTY,"PA, MONTOUR COUNTY",749,Brethren
1,US,VA,NELSON COUNTY,"VA, NELSON COUNTY",893,Brethren
1,US,DE,NEW CASTLE COUNTY,"DE, NEW CASTLE COUNTY",33,Brethren
1,US,VA,NEW KENT COUNTY,"VA, NEW KENT COUNTY",462,Brethren
1,US,VA,NEWPORT NEWS CITY,"VA, NEWPORT NEWS CITY","2,298",Brethren
1,US,VA,NORFOLK CITY,"VA, NORFOLK CITY","6,407",Brethren
1,US,PA,NORTHAMPTON COUNTY,"PA, NORTHAMPTON COUNTY","18,015",Brethren
1,US,VA,NORTHAMPTON COUNTY,"VA, NORTHAMPTON COUNTY","5,309",Brethren
1,US,PA,NORTHUMBERLAND COUNTY,"PA, NORTHUMBERLAND COUNTY","9,863",Brethren
1,US,VA,NORTHUMBERLAND COUNTY,"VA, NORTHUMBERLAND COUNTY",741,Brethren
1,US,VA,NORTON CITY,"VA, NORTON CITY",60,Brethren
1,US,VA,NOTTOWAY COUNTY,"VA, NOTTOWAY COUNTY",60,Brethren
1,US,VA,ORANGE COUNTY,"VA, ORANGE COUNTY",632,Brethren
1,US,VA,PAGE COUNTY,"VA, PAGE COUNTY","3,648",Brethren
1,US,VA,PATRICK COUNTY,"VA, PATRICK COUNTY",184,Brethren
1,US,PA,PERRY COUNTY,"PA, PERRY COUNTY",537,Brethren
1,US,VA,PETERSBURG CITY,"VA, PETERSBURG CITY",434,Brethren
1,US,PA,PHILADELPHIA COUNTY,"PA, PHILADELPHIA COUNTY","3,758",Brethren
1,US,PA,PIKE COUNTY,"PA, PIKE COUNTY","1,434",Brethren
1,US,VA,PITTSYLVANIA COUNTY,"VA, PITTSYLVANIA COUNTY","5,055",Brethren
1,US,VA,POQUOSON CITY,"VA, POQUOSON CITY",718,Brethren
1,US,VA,PORTSMOUTH CITY,"VA, PORTSMOUTH CITY","1,581",Brethren
1,US,PA,POTTER COUNTY,"PA, POTTER COUNTY",877,Brethren
1,US,VA,POWHATAN COUNTY,"VA, POWHATAN COUNTY",336,Brethren
1,US,VA,PRINCE EDWARD COUNTY,"VA, PRINCE EDWARD COUNTY",27,Brethren
1,US,VA,PRINCE GEORGE COUNTY,"VA, PRINCE GEORGE COUNTY",312,Brethren
1,US,MD,PRINCE GEORGE'S COUNTY,"MD, PRINCE GEORGE'S COUNTY","41,008",Brethren
1,US,VA,PRINCE WILLIAM COUNTY,"VA, PRINCE WILLIAM COUNTY","4,847",Brethren
1,US,VA,PULASKI COUNTY,"VA, PULASKI COUNTY",403,Brethren
1,US,MD,QUEEN ANNE'S COUNTY,"MD, QUEEN ANNE'S COUNTY","31,128",Brethren
1,US,VA,RADFORD CITY,"VA, RADFORD CITY",842,Brethren
1,US,VA,RAPPAHANNOCK COUNTY,"VA, RAPPAHANNOCK COUNTY",556,Brethren
1,US,VA,RICHMOND CITY,"VA, RICHMOND CITY","7,617",Brethren
1,US,VA,RICHMOND COUNTY,"VA, RICHMOND COUNTY",472,Brethren
1,US,VA,ROANOKE CITY,"VA, ROANOKE CITY",779,Brethren
1,US,VA,ROANOKE COUNTY,"VA, ROANOKE COUNTY","1,420",Brethren
1,US,VA,ROCKBRIDGE COUNTY,"VA, ROCKBRIDGE COUNTY","2,305",Brethren
1,US,VA,ROCKINGHAM COUNTY,"VA, ROCKINGHAM COUNTY","17,398",Brethren
1,US,VA,RUSSELL COUNTY,"VA, RUSSELL COUNTY","1,036",Brethren
1,US,VA,SALEM CITY,"VA, SALEM CITY",268,Brethren
1,US,PA,SCHUYLKILL COUNTY,"PA, SCHUYLKILL COUNTY","21,626",Brethren
1,US,VA,SCOTT COUNTY,"VA, SCOTT COUNTY",93,Brethren
1,US,VA,SHENANDOAH COUNTY,"VA, SHENANDOAH COUNTY","8,103",Brethren
1,US,VA,SMYTH COUNTY,"VA, SMYTH COUNTY",501,Brethren
1,US,PA,SNYDER COUNTY,"PA, SNYDER COUNTY","4,694",Brethren
1,US,MD,SOMERSET COUNTY,"MD, SOMERSET COUNTY","16,649",Brethren
1,US,PA,SOMERSET COUNTY,"PA, SOMERSET COUNTY","7,458",Brethren
1,US,VA,SOUTHAMPTON COUNTY,"VA, SOUTHAMPTON COUNTY","3,458",Brethren
1,US,VA,SPOTSYLVANIA COUNTY,"VA, SPOTSYLVANIA COUNTY","2,122",Brethren
1,US,MD,ST. MARY'S COUNTY,"MD, ST. MARY'S COUNTY","24,201",Brethren
1,US,VA,STAFFORD COUNTY,"VA, STAFFORD COUNTY","1,429",Brethren
1,US,VA,STAUNTON CITY,"VA, STAUNTON CITY","2,340",Brethren
1,US,VA,SUFFOLK CITY,"VA, SUFFOLK CITY","3,369",Brethren
1,US,PA,SULLIVAN COUNTY,"PA, SULLIVAN COUNTY",727,Brethren
1,US,VA,SURRY COUNTY,"VA, SURRY COUNTY",456,Brethren
1,US,PA,SUSQUEHANNA COUNTY,"PA, SUSQUEHANNA COUNTY","2,630",Brethren
1,US,DE,SUSSEX COUNTY,"DE, SUSSEX COUNTY","4,690",Brethren
1,US,VA,SUSSEX COUNTY,"VA, SUSSEX COUNTY",924,Brethren
1,US,MD,TALBOT COUNTY,"MD, TALBOT COUNTY","26,257",Brethren
1,US,VA,TAZEWELL COUNTY,"VA, TAZEWELL COUNTY",88,Brethren
1,US,PA,TIOGA COUNTY,"PA, TIOGA COUNTY","1,462",Brethren
1,US,PA,UNION COUNTY,"PA, UNION COUNTY","1,792",Brethren
1,US,PA,VENANGO COUNTY,"PA, VENANGO COUNTY","1,649",Brethren
1,US,VA,VIRGINIA BEACH CITY,"VA, VIRGINIA BEACH CITY","12,931",Brethren
1,US,PA,WARREN COUNTY,"PA, WARREN COUNTY",406,Brethren
1,US,VA,WARREN COUNTY,"VA, WARREN COUNTY","1,014",Brethren
1,US,MD,WASHINGTON COUNTY,"MD, WASHINGTON COUNTY","68,348",Brethren
1,US,PA,WASHINGTON COUNTY,"PA, WASHINGTON COUNTY","8,626",Brethren
1,US,VA,WASHINGTON COUNTY,"VA, WASHINGTON COUNTY","1,810",Brethren
1,US,PA,WAYNE COUNTY,"PA, WAYNE COUNTY","2,334",Brethren
1,US,VA,WAYNESBORO CITY,"VA, WAYNESBORO CITY","1,777",Brethren
1,US,PA,WESTMORELAND COUNTY,"PA, WESTMORELAND COUNTY","9,236",Brethren
1,US,VA,WESTMORELAND COUNTY,"VA, WESTMORELAND COUNTY","2,259",Brethren
1,US,MD,WICOMICO COUNTY,"MD, WICOMICO COUNTY","42,765",Brethren
1,US,VA,WILLIAMSBURG CITY,"VA, WILLIAMSBURG CITY",605,Brethren
1,US,VA,WINCHESTER CITY,"VA, WINCHESTER CITY","1,093",Brethren
1,US,VA,WISE COUNTY,"VA, WISE COUNTY","1,495",Brethren
1,US,MD,WORCESTER COUNTY,"MD, WORCESTER COUNTY","87,318",Brethren
1,US,PA,WYOMING COUNTY,"PA, WYOMING COUNTY","1,850",Brethren
1,US,VA,WYTHE COUNTY,"VA, WYTHE COUNTY","1,263",Brethren
1,US,PA,YORK COUNTY,"PA, YORK COUNTY","47,283",Brethren
1,US,VA,YORK COUNTY,"VA, YORK COUNTY","1,023",Brethren
2,US,VA,ACCOMACK COUNTY,"VA, ACCOMACK COUNTY",156,Harford
2,US,PA,ADAMS COUNTY,"PA, ADAMS COUNTY","1,824",Harford
2,US,SC,AIKEN COUNTY,"SC, AIKEN COUNTY",101,Harford
2,US,NC,ALAMANCE COUNTY,"NC, ALAMANCE COUNTY","2,395",Harford
2,US,VA,ALBEMARLE COUNTY,"VA, ALBEMARLE COUNTY","6,587",Harford
2,US,NC,ALEXANDER COUNTY,"NC, ALEXANDER COUNTY",26,Harford
2,US,VA,ALEXANDRIA CITY,"VA, ALEXANDRIA CITY","31,746",Harford
2,US,MD,ALLEGANY COUNTY,"MD, ALLEGANY COUNTY",496,Harford
2,US,NC,ALLEGHANY COUNTY,"NC, ALLEGHANY COUNTY",3,Harford
2,US,VA,ALLEGHANY COUNTY,"VA, ALLEGHANY COUNTY",94,Harford
2,US,PA,ALLEGHENY COUNTY,"PA, ALLEGHENY COUNTY","45,603",Harford
2,US,VA,AMELIA COUNTY,"VA, AMELIA COUNTY",28,Harford
2,US,VA,AMHERST COUNTY,"VA, AMHERST COUNTY",125,Harford
2,US,SC,ANDERSON COUNTY,"SC, ANDERSON COUNTY",124,Harford
2,US,TN,ANDERSON COUNTY,"TN, ANDERSON COUNTY",383,Harford
2,US,MD,ANNE ARUNDEL COUNTY,"MD, ANNE ARUNDEL COUNTY","54,526",Harford
2,US,NC,ANSON COUNTY,"NC, ANSON COUNTY",258,Harford
2,US,VA,ARLINGTON COUNTY,"VA, ARLINGTON COUNTY","27,878",Harford
2,US,PA,ARMSTRONG COUNTY,"PA, ARMSTRONG COUNTY",390,Harford
2,US,NC,ASHE COUNTY,"NC, ASHE COUNTY","1,379",Harford
2,US,NJ,ATLANTIC COUNTY,"NJ, ATLANTIC COUNTY","17,237",Harford
2,US,VA,AUGUSTA COUNTY,"VA, AUGUSTA COUNTY","1,454",Harford
2,US,NC,AVERY COUNTY,"NC, AVERY COUNTY",147,Harford
2,US,GA,BALDWIN COUNTY,"GA, BALDWIN COUNTY",20,Harford
2,US,MD,BALTIMORE CITY,"MD, BALTIMORE CITY","88,125",Harford
2,US,MD,BALTIMORE COUNTY,"MD, BALTIMORE COUNTY","108,172",Harford
